description,name,newest_chapter,url
"""Đường hầm đá đôi"" một trong những địa điểm cực kỳ nguy hiểm và vô cùng nổi tiếng của vùng Tokai
- Một nhóm sinh viên đã đến đó để quay một Video chứng minh những điều kỳ bí và quái dị xảy ra ở đó ... Và rồi không biết từ đâu một đám côn trùng khổng lồ xuất hiện và tấn công cả nhóm.
- Liệu nhóm sin...",Dãy Núi Côn Trùng,Chapter 48,https://truyenqqvn.com/truyen-tranh/day-nui-con-trung-13328
"(None,)",19 Days,Chapter 552,https://truyenqqvn.com/truyen-tranh/19-days-1302
"(None,)",Thả Vu Nữ Đó Ra,Chapter 524,https://truyenqqvn.com/truyen-tranh/tha-vu-nu-do-ra-6722
"(None,)",Tinh Thần Đại Hải Của Học Bá,Chapter 91,https://truyenqqvn.com/truyen-tranh/tinh-than-dai-hai-cua-hoc-ba-9923
"(None,)",Cao Năng Lai Tập,Chapter 359,https://truyenqqvn.com/truyen-tranh/cao-nang-lai-tap-10065
"(None,)",Tân Hỗn Độn Kiếm Thần,Chapter 83,https://truyenqqvn.com/truyen-tranh/tan-hon-don-kiem-than-11790
"(None,)","Khởi Đầu Có Kiếm Vực, Ta Sẽ Trở Thành Kiếm Thần",Chapter 99,https://truyenqqvn.com/truyen-tranh/khoi-dau-co-kiem-vuc-ta-se-tro-thanh-kiem-than-13290
Thị trấn cảng Sukuba đã hứng chịu những cơn sóng lớn do một con quái vật bất ngờ xuất hiện ngoài biển gây ra. Con quái vật đứng bất động tan biến vào trong làn nước và trở thành một nguồn dinh dưỡng dồi dào cho cá và giáp xác. Kết quả là nền kinh tế của Sukuba đã phát triển mạnh mẽ. Con quái vật đượ...,Daikaiju Gaea-Tima,Chapter 3,https://truyenqqvn.com/truyen-tranh/daikaiju-gaea-tima-15232
"""Xin chào, các bé cưng! Mấy bé có thích người có nhiều khía cạch khác nhau không?""
Omota Uramichi, 31 tuổi, là huấn luyện viên thể dục dụng cụ trong chương trình truyền hình giáo dục dành cho trẻ em ""Chơi cùng Mama."" Bề ngoài anh ấy có thể rất ngọt ngào, nhưng mấy cô, cậu bé chắc chắn sẽ sợ hãi mỗi ...",Huấn Luyện Viên Trường Đời - Uramichi,Chapter 14,https://truyenqqvn.com/truyen-tranh/huan-luyen-vien-truong-doi-uramichi-11695
"“Chư Thần” là một trò chơi thực tế ảo có ảnh hưởng đến hiện thực. Giang Trần vốn là người chơi mạnh nhất, nhưng ngay trước thời khắc bước chân vào Thần Vực thì đi uống gió Tây Bắc. Kiếp này, anh Nghịch Chuyển Âm Dương, dùng thân phận mục sư, trở lại lần nữa. Học được cách giả heo ăn thịt hổ, trải qu...",Đoạt Mạng Bằng Trị Liệu Thuật,Chapter 204,https://truyenqqvn.com/truyen-tranh/doat-mang-bang-tri-lieu-thuat-14909
"Ma ám nữ sinh và chỉ có main mới giải được... Còn ám kiểu gì, đọc đi sẽ rõ =))
","Làm Ơn, Giúp Tớ Cởi Nó Xuống!",Chapter 12,https://truyenqqvn.com/truyen-tranh/lam-on-giup-to-coi-no-xuong-15262
"Phần 2 của Tầm Trảo Tiền Thế Chi Lữ
",Tầm Trảo Tiền Thế Chi Lữ 2,Chapter 204,https://truyenqqvn.com/truyen-tranh/tam-trao-tien-the-chi-lu-2-13191
"Ngày xưa đại lão doanh doanh tỉnh lại phát hiện mình trở thành tiểu nữ nhi của Doanh gia thất lạc, trở lại hào môn không chỉ muốn truyền máu cho tiểu cô, còn bị trào phúng chuyện không bằng thiên kim giả thay thế kia, phụ thân mặc kệ chuyện, mẫu thân lại càng thiên vị tiểu cô cảm thấy nguyên chủ khô...",Thiên Kim Toàn Năng Đại Tài,Chapter 123,https://truyenqqvn.com/truyen-tranh/thien-kim-toan-nang-dai-tai-12801
"(None,)",Nhất Hốt Đao,Chapter 9,https://truyenqqvn.com/truyen-tranh/nhat-hot-dao-15214
"1 tác phẩm đến từ Red Ice Studio, studio đã thực hiện Tử Thần Phiêu Nguyệt, Thợ Rèn Huyền Thoại, Cửu Thiên Cực Kiếm...
",Thiết Huyết Kiếm Sĩ Hồi Quy,Chapter 58,https://truyenqqvn.com/truyen-tranh/thiet-huyet-kiem-si-hoi-quy-14046
"Khi mở mắt ra, tôi đã trở thành bảo mẫu trong một cuốn tiểu thuyết. Là nhân vật có vai trò ám sát chủ nhân trong lúc chăm sóc.
Dùng những kinh nghiệm được tích lũy từ kiếp trước, tôi đã cứu thiếu gia và chính mình…
Nhưng thỉnh thoảng, người chú của thiếu gia cứ xuất hiện trước mặt tôi!
***
“Chú, chú...",Nhật Ký Trông Trẻ,Chapter 11,https://truyenqqvn.com/truyen-tranh/nhat-ky-trong-tre-15256
"Giang Trần xuyên không tới thế giới tu tiên, nhưng lại không có thiên phú  chú định chỉ làm một phàm nhân. Nhưng mà lại tiện tay bắt đc Kim Sí Bằng, Kỳ Lân,
",Ta Đây Chính Là Tuyệt Thế Cao Thủ,Chapter 20,https://truyenqqvn.com/truyen-tranh/ta-day-chinh-la-tuyet-the-cao-thu-13284
"Akira, một họa sĩ tài năng nhưng sau khi bị bệnh ung thư anh đã nhận ra xung quanh mình chẳng còn gì ngoại trừ cái danh hiệu ""thành công"" của mình. không có người đi cùng mình đến bệnh viện, người mẹ, người thân duy nhất của anh cũng đòi anh đưa tiền mới chịu đi cùng anh. trong cơn giận anh đã vô tì...",Drawing: Saikyou Mangaka Wa Oekaki Skill De Isekai Musou Suru!,Chapter 88,https://truyenqqvn.com/truyen-tranh/drawing-saikyou-mangaka-wa-oekaki-skill-de-isekai-musou-suru-12327
"(None,)",Siêu Phàm Sát Thần,Chapter 123,https://truyenqqvn.com/truyen-tranh/sieu-pham-sat-than-13233
